mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
58082,NEET Kunoichi to Nazeka Dousei Hajimemashita,2025,Web manga,Comedy,24,50696,29543,Q2,0.5823,0.2222,0.0029,0.691,0.1708,Остальные,Дебют
59425,NegaPosi Angler,2024,Original,Slice of Life,12,65788,40627,Q2,0.6174,0.3988,0.0044,0.8037,0.4133,Остальные,Дебют
58395,Neko ni Tensei shita Ojisan,2024,Web manga,Comedy,48,2895,1465,Q1 малые,0.5062,0.0622,0.0052,0.6784,0.2307,Остальные,Дебют
38924,Nekopara,2020,Visual novel,Slice of Life,12,185306,119169,Q3,0.643,0.4291,0.0046,0.8182,0.4787,Остальные,Дебют
52293,New Panty & Stocking with Garterbelt,2025,Original,Action,13,71734,27706,Q2,0.3861,0.1107,0.0048,0.7323,0.1962,Остальные,Дебют
46422,Niehime to Kemono no Ou,2023,Manga,Fantasy,24,95436,59142,Q2,0.6196,0.3762,0.0072,0.8096,0.4962,Нишевые любимчики,Дебют
51105,NieR:Automata Ver1.1a,2023,Game,Action,12,326177,189634,Q4 крупные,0.5812,0.2784,0.0073,0.7214,0.3854,Нишевые любимчики,Дебют
56063,NieR:Automata Ver1.1a Part 2,2024,Game,Action,12,103158,56587,Q2,0.5483,0.4105,0.0052,0.8713,0.3993,Остальные,Продолжение
54724,Nige Jouzu no Wakagimi,2024,Manga,Adventure,12,190194,133445,Q3,0.7012,0.4602,0.0043,0.8313,0.5586,Остальные,Дебют
43767,Night Head 2041,2021,Other,Drama,12,47286,21964,Q2,0.4645,0.242,0.0066,0.7339,0.3,Нишевые любимчики,Дебют
57648,Nihon e Youkoso Elf-san.,2025,Light novel,Comedy,12,83745,57008,Q2,0.6805,0.4571,0.0031,0.8459,0.4614,Остальные,Дебют
53077,Nijiyon Animation,2023,4-koma manga,Comedy,12,13824,9108,Q1 малые,0.6586,0.4881,0.0032,0.861,0.4672,Остальные,Дебют
57623,Nijiyon Animation 2,2024,4-koma manga,Comedy,12,6826,4668,Q1 малые,0.6835,0.5404,0.0013,0.907,0.4481,Остальные,Продолжение
49612,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,2023,Light novel,Action,12,198281,157171,Q3,0.7925,0.5069,0.0036,0.8553,0.6252,Надёжный просмотр,Дебют
42260,Ninja Collection,2020,Original,Horror,13,18076,9924,Q1 малые,0.549,0.2653,0.0014,0.7347,0.109,Остальные,Дебют
56285,Ninja Kamui,2024,Original,Action,13,190118,143313,Q3,0.7537,0.393,0.0058,0.8276,0.6131,Нишевые любимчики,Дебют
58725,Ninja to Koroshiya no Futarigurashi,2025,Manga,Slice of Life,12,50251,33604,Q2,0.6687,0.4242,0.0038,0.8198,0.465,Остальные,Дебют
40529,No Guns Life 2nd Season,2020,Manga,Action,12,85997,54805,Q2,0.6372,0.5003,0.001,0.8977,0.36,Остальные,Продолжение
41345,Noblesse,2020,Web manga,Action,13,319811,232181,Q4 крупные,0.7259,0.5281,0.004,0.8415,0.6064,Надёжный просмотр,Дебют
52274,Nokemono-tachi no Yoru,2023,Manga,Action,13,49862,32147,Q2,0.6446,0.3409,0.0026,0.7597,0.2879,Остальные,Дебют
40729,Nomad: Megalo Box 2,2021,Original,Sci-Fi,13,226139,147962,Q3,0.6542,0.5207,0.0098,0.9048,0.6842,Нишевые любимчики,Дебют
