mal_id,episode,retention,title,segment,source,title_type
40530,1,0.9534,Jaku-Chara Tomozaki-kun,Надёжный просмотр,Light novel,Дебют
40550,1,0.9242,Assault Lily: Bouquet,Остальные,Mixed media,Дебют
40571,1,0.948,Majo no Tabitabi,Флагманы,Light novel,Дебют
40586,1,0.955,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Надёжный просмотр,Light novel,Дебют
40591,1,0.9795,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Флагманы,Manga,Продолжение
40594,1,0.9526,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Надёжный просмотр,Light novel,Дебют
40595,1,0.9389,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",Надёжный просмотр,Light novel,Дебют
40608,1,0.8853,Muv-Luv Alternative,Остальные,Visual novel,Дебют
40623,1,0.9162,Dokyuu Hentai HxEros,Остальные,Manga,Дебют
40679,1,0.9468,2.43: Seiin Koukou Danshi Volley-bu,Остальные,Novel,Дебют
40685,1,0.9392,Super Cub,Нишевые любимчики,Light novel,Дебют
40708,1,0.9404,Monster Musume no Oishasan,Надёжный просмотр,Light novel,Дебют
40716,1,0.9438,Kakushigoto,Нишевые любимчики,Manga,Дебют
40738,1,0.9417,Natsunagu!,Остальные,Original,Дебют
40750,1,0.9603,Kaifuku Jutsushi no Yarinaoshi,Флагманы,Light novel,Дебют
40752,1,0.9302,Bishounen Tanteidan,Остальные,Novel,Дебют
40763,1,0.9003,Show By Rock!! Mashumairesh!!,Остальные,Game,Продолжение
40776,1,0.9813,Haikyuu!! To the Top Part 2,Флагманы,Manga,Продолжение
40783,1,0.9094,"Shachou, Battle no Jikan desu!",Остальные,Game,Дебют
40786,1,0.9346,Skate-Leading☆Stars,Остальные,Original,Дебют
40815,1,0.9703,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Надёжный просмотр,Light novel,Продолжение
40839,1,0.9699,"Kanojo, Okarishimasu",Флагманы,Manga,Дебют
40842,1,0.8924,Idoly Pride,Нишевые любимчики,Mixed media,Дебют
40870,1,0.9254,SSSS.Dynazenon,Нишевые любимчики,Original,Дебют
40904,1,0.9462,Bokutachi no Remake,Флагманы,Light novel,Дебют
40907,1,0.9416,World Trigger 2nd Season,Остальные,Manga,Продолжение
40908,1,0.9478,Kemono Jihen,Надёжный просмотр,Manga,Дебют
40930,1,0.933,Azur Lane: Bisoku Zenshin!,Остальные,4-koma manga,Продолжение
40935,1,0.9665,Beastars 2nd Season,Надёжный просмотр,Manga,Продолжение
40957,1,0.8767,Shin Chuuka Ichiban! 2nd Season,Остальные,Manga,Продолжение
40958,1,0.9247,Rail Romanesque,Остальные,Visual novel,Дебют
40960,1,0.9276,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Остальные,Light novel,Дебют
40961,1,0.8916,Hortensia Saga,Остальные,Game,Дебют
40974,1,0.9513,Kuma Kuma Kuma Bear,Надёжный просмотр,Light novel,Дебют
40995,1,0.9245,Hentatsu (TV),Остальные,Original,Дебют
41084,1,0.9623,Made in Abyss: Retsujitsu no Ougonkyou,Флагманы,Web manga,Продолжение
41103,1,0.9438,Koi to Yobu ni wa Kimochi Warui,Флагманы,Web manga,Дебют
41109,1,0.9302,Log Horizon: Entaku Houkai,Остальные,Light novel,Продолжение
41169,1,0.9403,Love Live! Superstar!!,Нишевые любимчики,Other,Дебют
41226,1,0.9586,Uzaki-chan wa Asobitai!,Надёжный просмотр,Web manga,Дебют
41312,1,0.9568,Kami-tachi ni Hirowareta Otoko,Надёжный просмотр,Light novel,Дебют
41364,1,0.9353,One Room: Third Season,Остальные,Original,Продолжение
41372,1,0.893,Senyoku no Sigrdrifa,Остальные,Original,Дебют
41380,1,0.95,100-man no Inochi no Ue ni Ore wa Tatteiru,Надёжный просмотр,Manga,Дебют
41389,1,0.9634,Tonikaku Kawaii,Флагманы,Manga,Дебют
41392,1,0.9162,Urasekai Picnic,Остальные,Novel,Дебют
41433,1,0.9544,Akudama Drive,Флагманы,Original,Дебют
41456,1,0.9481,"Sentouin, Haken shimasu!",Надёжный просмотр,Light novel,Дебют
41461,1,0.9481,Date A Live IV,Нишевые любимчики,Light novel,Продолжение
